image,yaw_deg,pitch_deg,roll_deg
nogizaka_20120222 (1).jpg,4.0077,-11.8597,-0.6437
nogizaka_20120222 (2).jpg,-1.0745,-12.7983,3.4729
nogizaka_20120222 (3).jpg,18.1907,-7.9391,5.9388
nogizaka_20120222 (4).jpg,-12.7563,-18.5587,-10.4997
nogizaka_20120222 (5).jpg,4.5320,-10.3833,-4.2394
nogizaka_20120222 (6).jpg,-1.8967,-8.5748,-6.6071
nogizaka_20120222 (7).jpg,-22.5513,-7.1448,6.9445
nogizaka_20120222 (8).jpg,7.0318,-12.0563,-13.1760
nogizaka_20120222 (9).jpg,5.7775,-15.6540,2.9834
nogizaka_20120222 (10).jpg,-0.0817,-15.1426,-13.6038
nogizaka_20120222 (11).jpg,3.8794,-12.8903,0.9844
nogizaka_20120222 (12).jpg,7.1881,-15.1160,14.7478
nogizaka_20120222 (13).jpg,12.2975,-15.9883,-5.4745
nogizaka_20120222 (14).jpg,2.5295,-9.6278,-19.0424
nogizaka_20120222 (15).jpg,16.2435,-14.1270,-0.8871
nogizaka_20120222 (16).jpg,-23.6425,-16.0390,-18.6418
nogizaka_20120222 (17).jpg,-13.2737,-14.4152,-6.9203
nogizaka_20120222 (18).jpg,5.9379,-15.7548,-1.4061
nogizaka_20120222 (19).jpg,-7.7976,-12.4665,16.1895
nogizaka_20120222 (20).jpg,-1.8996,-14.3999,-2.8700
nogizaka_20120222 (21).jpg,-2.5088,-11.7968,2.4136
nogizaka_20120222 (22).jpg,21.0230,-15.0084,-6.4888
nogizaka_20120222 (23).jpg,27.4590,-13.0003,0.8743
nogizaka_20120222 (24).jpg,2.5810,-11.6613,4.6483
nogizaka_20120222 (25).jpg,7.5859,-14.6262,9.4413
nogizaka_20120222 (26).jpg,5.0904,-15.9758,3.1309
nogizaka_20120222 (27).jpg,-29.1775,-14.2166,6.7308
nogizaka_20120222 (28).jpg,-23.7018,-4.3395,18.4536
nogizaka_20120222 (29).jpg,5.7075,-11.4181,2.5231
nogizaka_20120222 (30).jpg,10.4084,-14.1171,9.2876
nogizaka_20120222 (31).jpg,4.2127,-10.5193,-28.3095
nogizaka_20120222 (32).jpg,-2.3137,-9.9756,-8.7552
nogizaka_20120222 (33).jpg,8.4076,-16.0970,11.3389
