image,yaw_deg,pitch_deg,roll_deg
nogizaka_20150722 (1).jpg,0.4964,-14.7652,2.8473
nogizaka_20150722 (2).jpg,5.7515,-13.0344,1.6729
nogizaka_20150722 (3).jpg,8.6028,-10.4341,-1.7154
nogizaka_20150722 (4).jpg,-1.4445,-15.5815,-0.7344
nogizaka_20150722 (5).jpg,0.1688,-11.9771,-2.2607
nogizaka_20150722 (6).jpg,-7.2030,-9.2388,-3.1915
nogizaka_20150722 (7).jpg,-12.7399,-9.1122,11.6495
nogizaka_20150722 (8).jpg,5.1417,-15.7165,-7.5503
nogizaka_20150722 (9).jpg,-11.5589,-11.3595,5.4203
nogizaka_20150722 (10).jpg,-0.2785,-14.7170,-5.4143
nogizaka_20150722 (11).jpg,8.9148,-17.0476,-7.2339
nogizaka_20150722 (12).jpg,-11.7629,-11.6506,-1.1737
nogizaka_20150722 (13).jpg,-4.4760,-12.6762,-0.7292
nogizaka_20150722 (14).jpg,-2.1237,-9.1167,-9.5843
nogizaka_20150722 (15).jpg,-10.1244,-12.9893,3.9075
nogizaka_20150722 (16).jpg,5.3227,-13.2655,3.6942
nogizaka_20150722 (17).jpg,-12.2868,-13.5495,-1.4314
nogizaka_20150722 (18).jpg,-8.8786,-13.7986,-10.9005
nogizaka_20150722 (19).jpg,-0.4531,-8.0696,-3.7634
nogizaka_20150722 (20).jpg,-0.5328,-11.1297,2.0368
nogizaka_20150722 (21).jpg,2.0574,-10.7243,1.1059
nogizaka_20150722 (22).jpg,-3.7899,-18.9524,12.6698
nogizaka_20150722 (23).jpg,1.2953,-14.1367,6.3522
nogizaka_20150722 (24).jpg,-8.9075,-10.1491,-2.1283
nogizaka_20150722 (25).jpg,3.7711,-11.5107,9.5005
nogizaka_20150722 (26).jpg,-14.5545,-11.7336,-0.1100
nogizaka_20150722 (27).jpg,1.6077,-19.2436,-0.5359
nogizaka_20150722 (28).jpg,3.0534,-17.7968,6.6483
nogizaka_20150722 (29).jpg,-7.9842,-9.8669,7.0701
nogizaka_20150722 (30).jpg,4.4465,-14.5068,-0.5231
nogizaka_20150722 (31).jpg,2.1974,-12.5454,4.1616
nogizaka_20150722 (32).jpg,-3.2096,-11.1911,-1.9656
nogizaka_20150722 (33).jpg,-2.7645,-11.2709,-0.7683
nogizaka_20150722 (34).jpg,0.6293,-11.5249,-0.9710
nogizaka_20150722 (35).jpg,-1.8501,-11.4501,1.1242
nogizaka_20150722 (36).jpg,0.0594,-14.8466,2.4678
nogizaka_20150722 (37).jpg,7.1371,-12.6362,8.0982
