image,yaw_deg,pitch_deg,roll_deg
nogizaka_20241211 (1).jpg,6.0454,-8.4703,9.0361
nogizaka_20241211 (2).jpg,-14.7304,-0.2445,2.8589
nogizaka_20241211 (3).jpg,-12.0035,-8.6547,-8.1178
nogizaka_20241211 (4).jpg,0.4513,-6.3688,-0.0553
nogizaka_20241211 (5).jpg,-5.6527,-9.6271,-3.5165
nogizaka_20241211 (6).jpg,2.2882,-9.1796,3.9118
nogizaka_20241211 (7).jpg,13.8518,-6.5920,-4.3409
nogizaka_20241211 (8).jpg,19.1355,-4.6292,-2.9998
nogizaka_20241211 (9).jpg,-6.2625,-9.9570,2.0861
nogizaka_20241211 (10).jpg,-13.0910,-5.4156,2.8564
nogizaka_20241211 (11).jpg,-12.7672,-12.7754,1.8378
nogizaka_20241211 (12).jpg,-20.4915,-13.9480,-2.5425
nogizaka_20241211 (13).jpg,17.0832,-1.9119,-6.7133
nogizaka_20241211 (14).jpg,-15.2962,-11.3271,-8.3964
nogizaka_20241211 (15).jpg,13.7906,-10.9988,2.9984
nogizaka_20241211 (16).jpg,19.6973,-9.5825,7.5858
nogizaka_20241211 (17).jpg,13.4282,-11.3695,15.6100
nogizaka_20241211 (18).jpg,10.8918,-8.3131,10.7848
nogizaka_20241211 (19).jpg,3.4773,-9.7585,4.6853
nogizaka_20241211 (20).jpg,-20.4826,-10.0122,-6.8689
nogizaka_20241211 (21).jpg,-15.7771,-10.6701,3.5121
nogizaka_20241211 (22).jpg,21.5746,-11.5073,6.4429
nogizaka_20241211 (23).jpg,-7.5505,-5.4084,-1.0096
nogizaka_20241211 (24).jpg,12.7297,-8.4677,-1.4025
nogizaka_20241211 (25).jpg,18.4754,-8.1767,2.7350
nogizaka_20241211 (26).jpg,10.5651,-7.7813,5.1595
nogizaka_20241211 (27).jpg,16.8534,-10.8939,12.6298
nogizaka_20241211 (28).jpg,-7.8079,-13.5846,-13.2043
nogizaka_20241211 (29).jpg,-13.6874,-5.0696,4.1956
nogizaka_20241211 (30).jpg,-13.3018,-9.5514,-2.8336
nogizaka_20241211 (31).jpg,3.7693,-11.0985,4.2871
