image,yaw_deg,pitch_deg,roll_deg
nogizaka_20120822 (1).jpg,2.1810,-15.8574,1.2393
nogizaka_20120822 (2).jpg,-2.2630,-11.6883,-5.1614
nogizaka_20120822 (3).jpg,-0.2820,-9.7574,17.4555
nogizaka_20120822 (4).jpg,-5.6459,-16.9693,-7.8404
nogizaka_20120822 (5).jpg,11.4891,-10.5122,-10.5363
nogizaka_20120822 (6).jpg,-5.3209,-12.2586,-2.1090
nogizaka_20120822 (7).jpg,-8.7651,-12.9841,-19.3922
nogizaka_20120822 (8).jpg,16.8712,-9.2979,-0.4921
nogizaka_20120822 (9).jpg,10.4351,-14.4515,6.7093
nogizaka_20120822 (10).jpg,-10.1879,-12.4695,-15.6126
nogizaka_20120822 (11).jpg,18.6212,-3.0500,-13.6704
nogizaka_20120822 (12).jpg,-4.4956,-14.0502,2.3375
nogizaka_20120822 (13).jpg,-16.5880,-15.6252,-8.9066
nogizaka_20120822 (14).jpg,-3.2640,-10.8753,-10.9680
nogizaka_20120822 (15).jpg,0.8773,-17.1251,1.8336
nogizaka_20120822 (16).jpg,0.6987,-11.7356,3.0628
nogizaka_20120822 (17).jpg,3.2521,-13.0283,-3.7092
nogizaka_20120822 (18).jpg,-0.6039,-11.2340,-17.9351
nogizaka_20120822 (19).jpg,12.6809,-13.6875,-4.4725
nogizaka_20120822 (20).jpg,6.3473,-10.2015,13.7958
nogizaka_20120822 (21).jpg,-4.8932,-16.4181,-10.8264
nogizaka_20120822 (22).jpg,-0.8310,-12.8047,-6.6905
nogizaka_20120822 (23).jpg,-1.6451,-13.1018,-0.7406
nogizaka_20120822 (24).jpg,7.8918,-7.4188,10.6725
nogizaka_20120822 (25).jpg,4.8996,-11.8374,5.3417
nogizaka_20120822 (26).jpg,-2.0849,-14.9681,-7.2615
nogizaka_20120822 (27).jpg,9.7012,-13.2206,8.1456
nogizaka_20120822 (28).jpg,8.7919,-20.6147,14.6087
nogizaka_20120822 (29).jpg,3.0446,-8.2571,15.1945
nogizaka_20120822 (30).jpg,2.8905,-15.5981,19.2021
nogizaka_20120822 (31).jpg,6.4817,-14.8586,8.2384
nogizaka_20120822 (32).jpg,7.2635,-8.7311,12.2356
nogizaka_20120822 (33).jpg,17.8920,-17.1276,4.1805
nogizaka_20120822 (34).jpg,12.9080,-15.8073,4.1351
