image,yaw_deg,pitch_deg,roll_deg
nogizaka_20120502 (1).jpg,4.0248,-14.9807,-0.5154
nogizaka_20120502 (2).jpg,-1.1808,-13.0588,-2.0854
nogizaka_20120502 (3).jpg,6.3125,-13.5290,4.3521
nogizaka_20120502 (4).jpg,-15.9163,-20.6602,1.0933
nogizaka_20120502 (5).jpg,10.7680,-18.1748,-6.6748
nogizaka_20120502 (6).jpg,-5.8715,-13.8776,-12.3963
nogizaka_20120502 (7).jpg,-22.1488,-4.6858,10.4366
nogizaka_20120502 (8).jpg,-13.6274,-6.1094,11.9914
nogizaka_20120502 (9).jpg,-2.7747,-15.1291,-15.3412
nogizaka_20120502 (10).jpg,3.8498,-14.7882,12.2229
nogizaka_20120502 (11).jpg,2.7067,-9.7047,7.4344
nogizaka_20120502 (12).jpg,19.0954,-13.7762,-24.1156
nogizaka_20120502 (13).jpg,14.3444,-12.0951,-2.5690
nogizaka_20120502 (14).jpg,3.6849,-10.2367,-17.7786
nogizaka_20120502 (15).jpg,11.2296,-12.7376,12.1176
nogizaka_20120502 (16).jpg,7.4688,-15.9845,11.1922
nogizaka_20120502 (17).jpg,-6.1072,-16.3462,-15.4602
nogizaka_20120502 (18).jpg,-2.3666,-12.9118,9.7499
nogizaka_20120502 (19).jpg,7.9926,-19.5945,12.3748
nogizaka_20120502 (20).jpg,7.9933,-13.4593,5.1863
nogizaka_20120502 (21).jpg,-9.6247,-15.3946,3.2496
nogizaka_20120502 (22).jpg,11.5386,-12.4670,1.8395
nogizaka_20120502 (23).jpg,12.0642,-12.7337,-12.9399
nogizaka_20120502 (24).jpg,17.9001,-14.8086,12.2116
nogizaka_20120502 (25).jpg,-3.1553,-13.5783,-11.4929
nogizaka_20120502 (26).jpg,0.7362,-11.7807,2.3940
nogizaka_20120502 (27).jpg,6.4014,-18.7010,18.1869
nogizaka_20120502 (28).jpg,1.2632,-17.7568,-3.7199
nogizaka_20120502 (29).jpg,-7.6787,-9.3122,-15.1576
nogizaka_20120502 (30).jpg,-3.6826,-12.0793,-11.7789
nogizaka_20120502 (31).jpg,6.5839,-16.8546,8.0413
nogizaka_20120502 (32).jpg,-7.3695,-10.0074,-12.2711
nogizaka_20120502 (33).jpg,13.0918,-11.8093,-0.8832
nogizaka_20120502 (34).jpg,8.8678,-14.3366,5.7225
