image,yaw_deg,pitch_deg,roll_deg
nogizaka_20141008 (1).jpg,2.9245,-12.4312,5.2946
nogizaka_20141008 (2).jpg,-21.0335,-16.1343,-4.8327
nogizaka_20141008 (3).jpg,11.2010,-12.1339,3.1340
nogizaka_20141008 (4).jpg,-4.1541,-16.3339,-3.2205
nogizaka_20141008 (5).jpg,7.0642,-11.0274,-6.9602
nogizaka_20141008 (6).jpg,-7.2755,-14.0330,-4.0998
nogizaka_20141008 (7).jpg,9.7004,-12.5377,6.6199
nogizaka_20141008 (8).jpg,-3.7662,-14.1466,-1.7538
nogizaka_20141008 (9).jpg,-19.3213,-9.7527,11.2835
nogizaka_20141008 (10).jpg,5.8356,-12.4197,-0.2717
nogizaka_20141008 (11).jpg,6.6437,-14.5664,-15.6115
nogizaka_20141008 (12).jpg,-8.8514,-6.7711,6.9509
nogizaka_20141008 (13).jpg,14.8025,-13.4880,-1.4359
nogizaka_20141008 (14).jpg,-5.2974,-16.4523,-8.4051
nogizaka_20141008 (15).jpg,-6.8936,-15.5972,-1.3807
nogizaka_20141008 (16).jpg,-18.3078,-9.4423,6.3147
nogizaka_20141008 (17).jpg,2.3425,-12.5793,14.0532
nogizaka_20141008 (18).jpg,4.1288,-11.3073,5.7009
nogizaka_20141008 (19).jpg,-8.2957,-13.3353,-4.0025
nogizaka_20141008 (20).jpg,-5.6177,-7.8832,-2.0583
nogizaka_20141008 (21).jpg,1.1642,-14.0588,3.1459
nogizaka_20141008 (22).jpg,1.7770,-11.0474,6.1632
nogizaka_20141008 (23).jpg,7.7896,-19.0365,-3.1452
nogizaka_20141008 (24).jpg,8.1961,-14.5165,1.4861
nogizaka_20141008 (25).jpg,12.3014,-10.6386,-7.6041
nogizaka_20141008 (26).jpg,-0.9947,-11.1820,-3.6503
nogizaka_20141008 (27).jpg,-15.0866,-12.5626,-8.9815
nogizaka_20141008 (28).jpg,0.1844,-9.4232,3.0248
nogizaka_20141008 (29).jpg,3.7870,-14.4613,-5.7150
nogizaka_20141008 (30).jpg,7.1726,-17.2050,-2.1420
nogizaka_20141008 (31).jpg,-12.0597,-12.9000,-6.9016
nogizaka_20141008 (32).jpg,9.4848,-14.7384,-7.9238
nogizaka_20141008 (33).jpg,-16.8110,-9.1577,3.6497
nogizaka_20141008 (34).jpg,-4.1728,-10.6648,2.6631
nogizaka_20141008 (35).jpg,-6.0317,-11.3444,-0.0163
nogizaka_20141008 (36).jpg,-4.4452,-13.3080,4.0417
nogizaka_20141008 (37).jpg,-1.4298,-14.7451,0.7420
nogizaka_20141008 (38).jpg,7.8559,-11.3908,2.7984
nogizaka_20141008 (39).jpg,2.5723,-12.3103,4.4857
nogizaka_20141008 (40).jpg,14.2893,-9.8201,-3.2676
