image,yaw_deg,pitch_deg,roll_deg
HKT48_20251224 (1).jpg,-6.5472,-8.9342,-8.7414
HKT48_20251224 (2).jpg,0.1383,-9.4873,1.7575
HKT48_20251224 (3).jpg,7.7045,-9.5222,3.6150
HKT48_20251224 (4).jpg,3.3790,-14.8465,3.7692
HKT48_20251224 (5).jpg,13.8915,-13.6231,14.6698
HKT48_20251224 (6).jpg,0.1016,-13.0018,12.5308
HKT48_20251224 (7).jpg,0.7906,-10.3331,5.1186
HKT48_20251224 (8).jpg,16.5470,-9.6334,-1.1091
HKT48_20251224 (9).jpg,5.8136,-11.7299,-0.6158
HKT48_20251224 (10).jpg,1.7973,-13.1315,1.7755
HKT48_20251224 (11).jpg,7.9862,-12.6636,12.4195
HKT48_20251224 (12).jpg,1.3197,-11.1521,4.6207
HKT48_20251224 (13).jpg,15.5635,-9.6354,7.6490
HKT48_20251224 (14).jpg,4.3821,-6.3961,16.4759
HKT48_20251224 (15).jpg,-5.3452,-11.5249,-7.4164
HKT48_20251224 (16).jpg,13.2020,-11.3455,-5.3354
HKT48_20251224 (17).jpg,-16.4836,-13.9533,-4.1034
HKT48_20251224 (18).jpg,6.4030,-7.0217,6.5223
HKT48_20251224 (19).jpg,1.0067,-6.7039,2.7545
HKT48_20251224 (20).jpg,-1.5435,-11.8153,0.5193
HKT48_20251224 (21).jpg,15.9851,-9.7752,4.7293
HKT48_20251224 (22).jpg,15.1079,-10.6768,-0.3383
HKT48_20251224 (23).jpg,14.9405,-10.2567,2.8356
HKT48_20251224 (24).jpg,9.6109,-16.1902,2.6590
HKT48_20251224 (25).jpg,8.8936,-12.1587,1.8542
HKT48_20251224 (26).jpg,6.9181,-16.4935,14.0905
HKT48_20251224 (27).jpg,1.9934,-7.0030,2.4507
HKT48_20251224 (28).jpg,-15.4502,-11.6176,-7.7163
HKT48_20251224 (29).jpg,4.8275,-10.8626,3.9191
HKT48_20251224 (30).jpg,-5.9837,-13.6490,-2.5599
HKT48_20251224 (31).jpg,1.5859,-10.7128,4.9236
HKT48_20251224 (32).jpg,14.0735,-12.7930,12.2552
HKT48_20251224 (33).jpg,9.0836,-16.0121,11.2945
HKT48_20251224 (34).jpg,6.8409,-10.8142,3.1728
HKT48_20251224 (35).jpg,4.7263,-14.7659,4.6675
HKT48_20251224 (36).jpg,15.2276,-13.5015,2.8615
HKT48_20251224 (37).jpg,12.4973,-11.5106,2.7305
HKT48_20251224 (38).jpg,12.4153,-13.2338,3.7595
HKT48_20251224 (39).jpg,8.1240,-13.9385,12.0397
HKT48_20251224 (40).jpg,6.0178,-11.9106,9.1498
HKT48_20251224 (41).jpg,11.1902,-7.4982,-2.6111
