image,yaw_deg,pitch_deg,roll_deg
HKT48_20180703 (1).jpg,16.7466,-13.9529,4.1881
HKT48_20180703 (2).jpg,20.7334,-16.4500,2.9597
HKT48_20180703 (3).jpg,17.9237,-14.9251,16.9468
HKT48_20180703 (4).jpg,8.7478,-14.8212,9.3531
HKT48_20180703 (5).jpg,20.7258,-14.9152,8.5680
HKT48_20180703 (6).jpg,-15.0886,-12.0403,-2.7907
HKT48_20180703 (7).jpg,13.7314,-15.6331,10.0947
HKT48_20180703 (8).jpg,17.4598,-18.3513,6.1292
HKT48_20180703 (9).jpg,16.2216,-7.2779,-1.3770
HKT48_20180703 (10).jpg,6.1329,-16.9828,10.6892
HKT48_20180703 (11).jpg,16.7546,-12.3315,4.9778
HKT48_20180703 (12).jpg,12.1631,-14.0874,6.9638
HKT48_20180703 (13).jpg,-8.7071,-18.1222,1.2105
HKT48_20180703 (14).jpg,15.3550,-11.5780,9.4491
HKT48_20180703 (15).jpg,13.3974,-17.5400,20.3114
HKT48_20180703 (16).jpg,-11.8881,-11.7385,-2.4651
HKT48_20180703 (17).jpg,11.6168,-14.4147,-1.8760
HKT48_20180703 (18).jpg,-9.6540,-13.0043,-9.7569
HKT48_20180703 (19).jpg,10.2354,-14.8942,15.2955
HKT48_20180703 (20).jpg,2.4088,-10.5860,6.2279
HKT48_20180703 (21).jpg,15.4623,-20.5475,14.0122
HKT48_20180703 (22).jpg,12.5759,-10.6936,-0.9490
HKT48_20180703 (23).jpg,8.4902,-10.5910,11.6939
HKT48_20180703 (24).jpg,-8.3987,-10.8686,-2.2102
HKT48_20180703 (25).jpg,-14.5830,-9.7588,-2.4256
HKT48_20180703 (26).jpg,-6.0617,-14.7641,-1.8511
HKT48_20180703 (27).jpg,-11.1774,-11.2225,0.4799
HKT48_20180703 (28).jpg,7.5524,-12.5557,1.6059
HKT48_20180703 (29).jpg,14.2652,-16.7995,7.1699
HKT48_20180703 (30).jpg,-18.1301,-12.6063,1.4696
HKT48_20180703 (31).jpg,19.9483,-8.7597,-0.9249
HKT48_20180703 (32).jpg,6.0201,-10.8113,3.7786
HKT48_20180703 (33).jpg,14.4985,-9.8941,-2.7562
HKT48_20180703 (34).jpg,-11.7644,-8.5217,4.3931
HKT48_20180703 (35).jpg,9.6080,-13.0132,9.3414
HKT48_20180703 (36).jpg,-10.6467,-8.8367,7.2154
HKT48_20180703 (37).jpg,17.9285,-17.0963,7.3957
HKT48_20180703 (38).jpg,9.3344,-9.2013,11.7905
HKT48_20180703 (39).jpg,-0.6758,-14.3438,9.8052
HKT48_20180703 (40).jpg,-16.1029,-15.3597,-6.0342
HKT48_20180703 (41).jpg,14.8456,-17.5743,8.4322
HKT48_20180703 (42).jpg,-11.5833,-8.4865,4.2446
HKT48_20180703 (43).jpg,-11.3202,-9.7954,-2.4901
HKT48_20180703 (44).jpg,11.0409,-13.4812,1.1922
HKT48_20180703 (45).jpg,-11.7223,-7.9664,0.3054
HKT48_20180703 (46).jpg,-12.0775,-12.4119,-1.4811
HKT48_20180703 (47).jpg,16.4797,-12.4228,4.6760
HKT48_20180703 (48).jpg,10.4917,-11.9561,-0.0198
HKT48_20180703 (49).jpg,-14.0535,-15.0334,-5.9110
HKT48_20180703 (50).jpg,2.4685,-13.3988,3.9908
