image,yaw_deg,pitch_deg,roll_deg
HKT48_20140501 (1).jpg,13.1613,-6.3465,1.8755
HKT48_20140501 (2).jpg,17.1892,-11.4573,0.0507
HKT48_20140501 (3).jpg,3.0604,-10.8435,1.8667
HKT48_20140501 (4).jpg,-12.2390,-13.0515,-7.7974
HKT48_20140501 (5).jpg,1.4551,-12.9018,4.6280
HKT48_20140501 (6).jpg,7.4558,-9.9423,3.7292
HKT48_20140501 (7).jpg,-8.5918,-15.2400,-5.7321
HKT48_20140501 (8).jpg,9.9266,-10.0159,2.3879
HKT48_20140501 (9).jpg,13.8972,-14.5901,4.8224
HKT48_20140501 (10).jpg,-4.1294,-14.1137,-0.5189
HKT48_20140501 (11).jpg,6.3864,-9.3169,-2.0604
HKT48_20140501 (12).jpg,5.0200,-14.8661,-8.9983
HKT48_20140501 (13).jpg,-13.4899,-15.1895,-5.1738
HKT48_20140501 (14).jpg,10.0872,-14.1544,8.8452
HKT48_20140501 (15).jpg,1.7546,-13.3028,1.1966
HKT48_20140501 (16).jpg,-21.2149,-12.2876,5.1978
HKT48_20140501 (17).jpg,12.7274,-13.0039,4.7934
HKT48_20140501 (18).jpg,-9.7460,-14.7734,-1.5068
HKT48_20140501 (19).jpg,-10.9512,-10.6189,-0.5938
HKT48_20140501 (20).jpg,-11.4326,-13.1981,-4.7909
HKT48_20140501 (21).jpg,0.3773,-11.0314,3.1187
HKT48_20140501 (22).jpg,6.4327,-11.6659,4.1023
HKT48_20140501 (23).jpg,18.4882,-12.8441,6.0926
HKT48_20140501 (24).jpg,-5.7890,-12.3846,-2.0333
HKT48_20140501 (25).jpg,16.7693,-13.3631,0.4558
HKT48_20140501 (26).jpg,18.6680,-14.8638,-2.4829
HKT48_20140501 (27).jpg,-8.6384,-15.4280,-3.3566
HKT48_20140501 (28).jpg,10.9735,-15.9914,3.8059
HKT48_20140501 (29).jpg,-14.6684,-4.6498,15.7478
HKT48_20140501 (30).jpg,-0.7861,-10.7816,-8.6612
HKT48_20140501 (31).jpg,-12.0785,-8.3024,3.8111
HKT48_20140501 (32).jpg,-3.8759,-8.2734,-6.5408
HKT48_20140501 (33).jpg,11.1372,-12.4016,11.6776
HKT48_20140501 (34).jpg,-3.8390,-14.1165,-2.3446
HKT48_20140501 (35).jpg,9.5584,-12.5939,1.2543
HKT48_20140501 (36).jpg,-11.0406,-13.2695,-7.6775
HKT48_20140501 (37).jpg,-11.8825,-17.2292,-1.1432
HKT48_20140501 (38).jpg,3.2406,-13.1145,0.7563
HKT48_20140501 (39).jpg,5.4757,-15.7375,3.2845
HKT48_20140501 (40).jpg,7.9513,-13.1839,-0.6024
HKT48_20140501 (41).jpg,-9.1640,-8.4383,-0.8712
HKT48_20140501 (42).jpg,10.8303,-12.3149,3.1943
HKT48_20140501 (43).jpg,2.9943,-12.0793,6.2617
HKT48_20140501 (44).jpg,-11.0019,-13.4019,-7.5649
HKT48_20140501 (45).jpg,-10.6154,-11.2528,-0.7405
HKT48_20140501 (46).jpg,9.8799,-12.5258,12.3006
HKT48_20140501 (47).jpg,13.2202,-13.2634,3.0832
