image,yaw_deg,pitch_deg,roll_deg
HKT48_20111213 (1).jpg,-4.8676,-13.7506,-0.2987
HKT48_20111213 (2).jpg,10.5534,-13.3014,8.1544
HKT48_20111213 (3).jpg,-2.1123,-13.7013,7.0992
HKT48_20111213 (4).jpg,7.0568,-11.3307,5.4931
HKT48_20111213 (5).jpg,1.7001,-6.7635,-5.5611
HKT48_20111213 (6).jpg,10.7101,-7.9705,-6.7313
HKT48_20111213 (7).jpg,6.4749,-16.3620,20.5683
HKT48_20111213 (8).jpg,-18.0645,-12.6631,8.1049
HKT48_20111213 (9).jpg,-14.3615,-8.6927,14.3662
HKT48_20111213 (10).jpg,1.3193,-12.0099,-2.3973
HKT48_20111213 (11).jpg,-4.9895,-16.0477,8.9543
HKT48_20111213 (12).jpg,5.1791,-11.3106,11.7723
HKT48_20111213 (13).jpg,-2.9324,-9.5110,1.6676
HKT48_20111213 (14).jpg,-12.9797,-10.8207,14.8638
HKT48_20111213 (15).jpg,-0.6841,-11.6028,4.8919
HKT48_20111213 (16).jpg,-7.5698,-10.0793,3.2445
HKT48_20111213 (17).jpg,16.5048,-5.4995,-18.7193
HKT48_20111213 (18).jpg,16.5775,-9.6363,-0.8842
HKT48_20111213 (19).jpg,-8.3841,-5.4264,21.2684
HKT48_20111213 (20).jpg,3.0534,-6.0440,0.0747
HKT48_20111213 (21).jpg,16.5417,-10.4026,4.8620
