group,time,y,se
AKB48,2011-01-19,0.5136164383561643,0.6138183252151367
AKB48,2011-10-26,1.2313536585365854,0.5287791979097808
AKB48,2012-12-03,0.512724,0.43815502676222956
AKB48,2014-04-23,0.6376359477124183,0.5080153181676321
AKB48,2014-05-24,1.0419545454545454,1.1314764940307998
AKB48,2014-09-01,0.2599591549295775,0.412004092119289
AKB48,2014-10-29,0.8619938775510205,0.48222966253325833
AKB48,2015-11-27,1.5884572413793103,0.39380339770111594
AKB48,2017-04-25,0.3589560810810811,0.45785931167829147
AKB48,2017-12-13,0.9702395348837209,0.5251205247630267
AKB48,2018-12-20,0.64380859375,0.49888692002445834
AKB48,2020-01-18,0.3670798319327731,0.5099265576542197
AKB48,2021-08-05,1.002792380952381,0.7196424394610387
AKB48,2023-07-01,1.5188835164835166,0.6937995239770128
AKB48,2024-04-09,0.518428787878788,0.7754519033800752
AKB48,2025-10-16,0.37979795918367343,0.7829763802762452
AKB48,2025-12-09,0.01861777777777788,0.7885682315314863
HKT48,2011-12-13,4.7997,2.0380972601447467
HKT48,2012-07-05,1.4994954545454546,1.2233366436337239
HKT48,2013-01-18,-1.8053954545454545,1.0820523792339918
HKT48,2013-04-30,0.5331333333333332,0.9482312971487956
HKT48,2014-05-01,0.790395744680851,0.7953063640631266
HKT48,2015-07-03,0.4862714285714285,0.9505218067204038
HKT48,2016-07-07,0.5543227272727272,1.1728243565332483
HKT48,2018-07-03,4.020768,0.8961408789595346
HKT48,2020-09-24,1.1942894736842105,1.0962273928238933
HKT48,2022-05-12,2.103259420289855,1.1778326825953527
HKT48,2022-08-21,1.924357894736842,1.1343045413240405
HKT48,2023-07-19,-0.2508690476190475,1.3251735164209835
HKT48,2024-08-09,2.805884,0.8601385430568254
HKT48,2025-12-24,3.732768292682927,0.9630673197567254
NGT48,2016-02-16,1.4513807692307692,1.0923137953342505
NGT48,2016-06-30,1.6133961538461536,1.0417077940571475
NGT48,2017-11-07,0.10979200000000003,1.1202328829149768
NGT48,2018-06-13,2.0736333333333334,0.8951430945311865
NGT48,2019-06-17,0.19268974358974364,1.2020101972257757
NGT48,2020-11-01,0.7152600000000001,1.5307087711073022
NGT48,2022-07-07,4.3453027027027025,1.5256425914082945
NGT48,2023-03-23,3.2470000000000003,1.1538163562049872
NGT48,2024-04-02,2.5285555555555552,0.79822804250936
NGT48,2025-04-04,1.2138583333333335,0.9821788545975987
NMB48,2011-02-12,2.9789960000000004,2.409747891789236
NMB48,2013-01-17,1.1577555555555556,0.4667540609261359
NMB48,2013-08-01,1.2930388059701492,0.42698219183959724
NMB48,2014-05-28,0.340669696969697,0.6086914548346065
NMB48,2015-12-24,0.2491063492063492,0.5626014226632917
NMB48,2016-11-11,1.6776515625,0.6759291140292905
