group,time,y,se
AKB48,2011-01-19,-12.906024657534248,0.3481539669326587
AKB48,2011-10-26,-12.769679268292684,0.30154155348073175
AKB48,2012-12-03,-12.849478,0.2866770822652575
AKB48,2014-04-23,-12.285475816993463,0.2377502588985292
AKB48,2014-05-24,-11.893267272727272,0.5069241210065661
AKB48,2014-09-01,-12.599680985915493,0.23123145380804036
AKB48,2014-10-29,-11.575997959183672,0.40280774353587623
AKB48,2015-11-27,-13.33770551724138,0.22660914129692306
AKB48,2017-04-25,-12.584002702702701,0.19717420279626227
AKB48,2017-12-13,-12.52743100775194,0.21528143011390383
AKB48,2018-12-20,-12.2680234375,0.22583930191286372
AKB48,2020-01-18,-11.676643697478992,0.261567236568404
AKB48,2021-08-05,-11.791471428571429,0.2567818948260678
AKB48,2023-07-01,-11.835312087912088,0.27525821394894256
AKB48,2024-04-09,-11.93395606060606,0.2865512955550601
AKB48,2025-10-16,-12.782257142857143,0.322365932582517
AKB48,2025-12-09,-11.91126888888889,0.32765395986062135
HKT48,2011-12-13,-10.615552380952382,0.6888330325585179
HKT48,2012-07-05,-12.73469090909091,0.5675474737245594
HKT48,2013-01-18,-10.727877272727273,0.5039922474980879
HKT48,2013-04-30,-11.925489743589745,0.40580334109474203
HKT48,2014-05-01,-12.419504255319147,0.36725878355413605
HKT48,2015-07-03,-12.715187755102042,0.37628198402524976
HKT48,2016-07-07,-12.477495454545455,0.4188198346925158
HKT48,2018-07-03,-13.048376000000001,0.43695140278571953
HKT48,2020-09-24,-11.790271929824563,0.395973933644982
HKT48,2022-05-12,-11.293998550724638,0.4095519993304306
HKT48,2022-08-21,-11.834652631578948,0.3254439967097164
HKT48,2023-07-19,-11.011659523809524,0.5552808596991203
HKT48,2024-08-09,-11.877847999999998,0.4176962570590534
HKT48,2025-12-24,-11.508031707317073,0.3989489115535274
NGT48,2016-02-16,-12.690565384615384,0.5560158411949819
NGT48,2016-06-30,-12.548638461538461,0.46151689646798827
NGT48,2017-11-07,-11.458207999999999,0.5841093119134466
NGT48,2018-06-13,-11.721273333333334,0.44623318942843637
NGT48,2019-06-17,-11.947551282051283,0.39495664938959474
NGT48,2020-11-01,-10.698143333333332,0.6045166613921954
NGT48,2022-07-07,-9.551097297297298,0.3882593389947162
NGT48,2023-03-23,-9.617162962962963,0.5258675611098127
NGT48,2024-04-02,-9.892358333333334,0.4698446288676647
NGT48,2025-04-04,-9.728752777777778,0.5115362213196654
NMB48,2011-02-12,-13.122828,0.7102590170381506
NMB48,2013-01-17,-12.321605555555557,0.32807354817881074
NMB48,2013-08-01,-12.9597,0.3030707048442337
NMB48,2014-05-28,-12.809507575757577,0.30720161423999354
NMB48,2015-12-24,-12.677579365079366,0.25406249574017054
NMB48,2016-11-11,-12.8676046875,0.30160515078708133
NMB48,2017-05-21,-12.859250909090909,0.3922455057489986
NMB48,2018-03-31,-11.668412765957447,0.35529026503605415
NMB48,2018-08-30,-11.300348275862069,0.4848410753182743
NMB48,2019-05-01,-11.189872307692307,0.39822626725308496
NMB48,2020-08-29,-11.14133829787234,0.4518218849115693
NMB48,2021-11-12,-10.488631707317074,0.47360944486090173
NMB48,2022-01-01,-9.522792857142857,0.5083368109312209
NMB48,2023-01-01,-11.192902222222221,0.5232018358195413
NMB48,2024-04-04,-8.792388235294117,0.5512363206796587
NMB48,2025-05-18,-10.030139393939393,0.3239480422372776
SKE48,2011-10-15,-12.054686885245902,0.3957365075005314
SKE48,2012-06-29,-12.148680769230769,0.2974682790297945
SKE48,2012-11-09,-12.220344117647059,0.42710874771441315
SKE48,2013-08-21,-12.360815277777778,0.2799930533571256
SKE48,2014-05-05,-12.926408571428572,0.31860674459401916
SKE48,2015-08-05,-12.956356338028169,0.35126597050545666
SKE48,2016-11-01,-13.598533333333332,0.29144028568090496
SKE48,2017-06-09,-12.100895774647887,0.3056843974737668
SKE48,2018-10-11,-13.012108955223882,0.35667356032216224
SKE48,2019-10-21,-10.319401369863012,0.48148150335860046
SKE48,2021-12-11,-10.050896875,0.4437525360422097
SKE48,2023-02-14,-10.032559322033899,0.38681324251220917
SKE48,2025-02-14,-11.00976170212766,0.36541321224750944
SUT48,2017-11-10,-12.360575757575758,0.5242350471854621
SUT48,2018-08-06,-10.918328571428571,0.5648762154514146
SUT48,2019-07-14,-8.558787096774195,0.5137374926241841
SUT48,2020-02-05,-8.146595833333334,0.7645690860690313
