image,yaw_deg,pitch_deg,roll_deg
keyakizaka_20180815 (1).jpg,-21.8233,-8.0658,2.9815
keyakizaka_20180815 (2).jpg,11.0639,-5.4641,-6.1535
keyakizaka_20180815 (3).jpg,23.1423,-13.5476,9.9363
keyakizaka_20180815 (4).jpg,-25.8474,-6.8456,-5.5581
keyakizaka_20180815 (5).jpg,-12.0329,-11.0622,-9.6706
keyakizaka_20180815 (6).jpg,19.8544,-5.5557,1.5513
keyakizaka_20180815 (7).jpg,-14.0423,-8.1105,-2.3774
keyakizaka_20180815 (8).jpg,0.7730,-12.1746,1.4733
keyakizaka_20180815 (9).jpg,17.9303,-11.1468,9.5006
keyakizaka_20180815 (10).jpg,-8.6852,-7.4100,-5.9209
keyakizaka_20180815 (11).jpg,-5.1247,-5.5514,-4.6820
keyakizaka_20180815 (12).jpg,-2.3974,-6.9931,-2.7066
keyakizaka_20180815 (13).jpg,13.7745,-2.9994,0.7261
keyakizaka_20180815 (14).jpg,-7.1295,-6.1504,-5.0365
keyakizaka_20180815 (15).jpg,9.5266,-11.1971,5.4293
keyakizaka_20180815 (16).jpg,27.6948,-10.4262,4.2473
keyakizaka_20180815 (17).jpg,-9.8355,-2.9357,-0.5837
keyakizaka_20180815 (18).jpg,21.2890,-1.4976,-6.0243
keyakizaka_20180815 (19).jpg,-12.0340,-10.5293,-5.0731
keyakizaka_20180815 (20).jpg,-14.8945,-9.7338,-11.9331
keyakizaka_20180815 (21).jpg,-12.1732,-5.2297,2.2330
