image,yaw_deg,pitch_deg,roll_deg
sakurazaka_20251029 (1).jpg,2.3830,-5.7666,3.2010
sakurazaka_20251029 (2).jpg,4.0517,-14.8090,5.0083
sakurazaka_20251029 (3).jpg,19.3323,-10.5289,8.7676
sakurazaka_20251029 (4).jpg,8.0382,-6.2621,7.6876
sakurazaka_20251029 (5).jpg,18.8068,-10.2938,4.8715
sakurazaka_20251029 (6).jpg,1.0920,-11.2821,3.4617
sakurazaka_20251029 (7).jpg,4.7618,-4.7559,4.8987
sakurazaka_20251029 (8).jpg,3.2261,-9.6725,3.7838
sakurazaka_20251029 (9).jpg,-18.4343,-8.1760,-6.9444
sakurazaka_20251029 (10).jpg,9.4246,-8.1018,4.2576
sakurazaka_20251029 (11).jpg,-14.0705,-6.4947,-2.8468
sakurazaka_20251029 (12).jpg,12.4937,-8.3093,3.1931
sakurazaka_20251029 (13).jpg,11.9604,-3.7809,8.4249
sakurazaka_20251029 (14).jpg,10.8320,-5.3425,2.2411
sakurazaka_20251029 (15).jpg,1.3210,-7.6576,0.6709
sakurazaka_20251029 (16).jpg,21.0563,-1.4809,-6.3113
sakurazaka_20251029 (17).jpg,-19.8445,-10.5040,-6.4880
sakurazaka_20251029 (18).jpg,12.4921,-10.4985,4.4793
sakurazaka_20251029 (19).jpg,-19.2141,-8.6458,0.1837
sakurazaka_20251029 (20).jpg,-17.5182,-6.0428,4.6151
sakurazaka_20251029 (21).jpg,-11.6630,-3.5802,-2.5710
sakurazaka_20251029 (22).jpg,-7.0205,-10.3983,-6.4759
sakurazaka_20251029 (23).jpg,-11.5899,-8.8343,-3.3556
sakurazaka_20251029 (24).jpg,-16.0306,-3.1203,-1.9554
sakurazaka_20251029 (25).jpg,-15.6130,-2.7662,3.5151
sakurazaka_20251029 (26).jpg,-14.3052,-5.8688,4.4945
sakurazaka_20251029 (27).jpg,-3.3318,-9.7210,-2.6643
sakurazaka_20251029 (28).jpg,3.2228,-6.7611,1.1067
sakurazaka_20251029 (29).jpg,18.4252,-9.1810,1.0797
sakurazaka_20251029 (30).jpg,6.4498,-9.9719,1.4612
sakurazaka_20251029 (31).jpg,-14.4140,-5.9479,2.6273
sakurazaka_20251029 (32).jpg,-21.0987,-6.6362,2.5703
sakurazaka_20251029 (33).jpg,17.6079,-12.0335,7.3863
