image,yaw_deg,pitch_deg,roll_deg
hinatazaka_20171025 (1).jpg,15.7146,-10.9679,11.6228
hinatazaka_20171025 (2).jpg,-0.1492,-11.8169,-1.8232
hinatazaka_20171025 (3).jpg,19.0112,-12.8450,14.1462
hinatazaka_20171025 (4).jpg,19.5260,-2.6992,-9.9021
hinatazaka_20171025 (5).jpg,18.1009,-15.3999,24.2173
hinatazaka_20171025 (6).jpg,25.3759,-17.5612,9.1523
hinatazaka_20171025 (7).jpg,-3.0908,-6.3487,-1.3816
hinatazaka_20171025 (8).jpg,-3.6801,-13.1988,-21.6706
hinatazaka_20171025 (9).jpg,-13.4228,-8.3568,-2.9352
hinatazaka_20171025 (10).jpg,-12.8799,-11.8210,-10.2027
hinatazaka_20171025 (11).jpg,13.9398,-12.8618,4.5803
hinatazaka_20171025 (12).jpg,18.0052,-10.1493,4.7502
hinatazaka_20171025 (13).jpg,21.9202,-9.8674,0.1253
hinatazaka_20171025 (14).jpg,-13.5387,-12.4485,1.4495
hinatazaka_20171025 (15).jpg,-24.4093,-12.1017,-6.2814
hinatazaka_20171025 (16).jpg,-8.6748,-14.4676,-8.0740
hinatazaka_20171025 (17).jpg,-20.0138,-8.6735,-2.6813
hinatazaka_20171025 (18).jpg,24.0423,-14.9838,2.0492
hinatazaka_20171025 (19).jpg,-8.0721,-8.1115,-10.5308
hinatazaka_20171025 (20).jpg,-10.1695,-8.8678,7.6231
