image,yaw_deg,pitch_deg,roll_deg
hinatazaka_20231108 (1).jpg,12.8039,-9.9719,-1.2257
hinatazaka_20231108 (2).jpg,11.4016,-10.3660,7.6191
hinatazaka_20231108 (3).jpg,20.3259,-5.8640,-2.4359
hinatazaka_20231108 (4).jpg,10.1249,-6.4264,0.0177
hinatazaka_20231108 (5).jpg,-11.5299,-7.8970,-10.1468
hinatazaka_20231108 (6).jpg,-3.7475,-5.2031,0.9771
hinatazaka_20231108 (7).jpg,-9.0010,-5.9724,-2.1487
hinatazaka_20231108 (8).jpg,-8.3795,-6.1202,-11.3744
hinatazaka_20231108 (9).jpg,-15.2703,-4.8765,-2.8572
hinatazaka_20231108 (10).jpg,17.8789,-5.1518,1.0292
hinatazaka_20231108 (11).jpg,-13.0621,-10.0523,-14.5862
hinatazaka_20231108 (12).jpg,16.6167,-6.7607,4.3956
hinatazaka_20231108 (13).jpg,7.1567,-10.3078,0.3167
hinatazaka_20231108 (14).jpg,-1.4007,-8.0426,-15.0038
hinatazaka_20231108 (15).jpg,6.3170,-7.1519,3.1524
hinatazaka_20231108 (16).jpg,-11.6213,-6.8015,-6.1355
hinatazaka_20231108 (17).jpg,-0.8680,-7.4736,1.8453
hinatazaka_20231108 (18).jpg,-11.4410,-5.6309,1.5458
hinatazaka_20231108 (19).jpg,14.5178,-11.6872,2.3047
hinatazaka_20231108 (20).jpg,-16.6470,-8.0196,-14.7646
hinatazaka_20231108 (21).jpg,9.8464,-8.1630,7.9613
hinatazaka_20231108 (22).jpg,1.0106,-7.5929,-2.4892
hinatazaka_20231108 (23).jpg,14.7634,-9.5635,11.4628
hinatazaka_20231108 (24).jpg,14.7134,-3.4487,-0.6618
hinatazaka_20231108 (25).jpg,-12.4509,-10.2920,-7.2835
hinatazaka_20231108 (26).jpg,-7.5816,-4.1940,-15.3387
hinatazaka_20231108 (27).jpg,4.0241,-7.6813,3.7309
hinatazaka_20231108 (28).jpg,21.7266,-12.0876,-0.5793
hinatazaka_20231108 (29).jpg,-4.9618,-3.4419,0.2755
hinatazaka_20231108 (30).jpg,21.3829,-11.9133,15.6924
hinatazaka_20231108 (31).jpg,-7.3845,-6.5906,1.5831
