image,yaw_deg,pitch_deg,roll_deg
hinatazaka_20161130 (1).jpg,5.0128,-3.8297,3.9238
hinatazaka_20161130 (2).jpg,2.9905,-12.8583,-0.1477
hinatazaka_20161130 (3).jpg,-18.0056,-10.2102,5.9117
hinatazaka_20161130 (4).jpg,11.9432,-12.7584,6.3658
hinatazaka_20161130 (5).jpg,16.7252,-10.4367,8.1240
hinatazaka_20161130 (6).jpg,-15.3991,-7.1949,3.9770
hinatazaka_20161130 (7).jpg,17.1423,-13.2110,3.3525
hinatazaka_20161130 (8).jpg,22.2634,-12.9299,1.9409
hinatazaka_20161130 (9).jpg,1.3787,-10.2182,-0.3861
hinatazaka_20161130 (10).jpg,-11.5051,-8.3970,-0.6333
hinatazaka_20161130 (11).jpg,16.4008,-12.4147,1.7145
hinatazaka_20161130 (12).jpg,-1.5740,-7.0803,-1.1980
