image,yaw_deg,pitch_deg,roll_deg
NMB48_20180331 (1).jpg,-17.8369,-14.7964,-5.9278
NMB48_20180331 (2).jpg,15.0496,-16.9105,8.9096
NMB48_20180331 (3).jpg,13.5971,-12.3434,0.2463
NMB48_20180331 (4).jpg,-17.9932,-9.6541,-4.7988
NMB48_20180331 (5).jpg,-8.0726,-12.7799,-1.6751
NMB48_20180331 (6).jpg,23.5294,-12.9846,2.5828
NMB48_20180331 (7).jpg,12.7359,-11.8943,0.2727
NMB48_20180331 (8).jpg,10.5381,-11.3820,6.1397
NMB48_20180331 (9).jpg,18.1455,-15.6991,6.6540
NMB48_20180331 (10).jpg,-10.2280,-13.5336,-6.3034
NMB48_20180331 (11).jpg,12.0360,-5.6060,4.7734
NMB48_20180331 (12).jpg,-9.5732,-8.8871,-1.0840
NMB48_20180331 (13).jpg,14.9488,-12.1621,9.6758
NMB48_20180331 (14).jpg,14.0522,-10.4818,3.3624
NMB48_20180331 (15).jpg,17.9140,-10.0114,1.6278
NMB48_20180331 (16).jpg,7.2345,-12.9743,-1.7025
NMB48_20180331 (17).jpg,12.6354,-12.0496,-1.3505
NMB48_20180331 (18).jpg,16.0276,-11.6153,0.6365
NMB48_20180331 (19).jpg,10.9254,-10.3823,-4.1518
NMB48_20180331 (20).jpg,3.7522,-15.4604,-1.2766
NMB48_20180331 (21).jpg,12.2045,-10.2965,-1.2105
NMB48_20180331 (22).jpg,-13.2550,-9.6548,-0.3992
NMB48_20180331 (23).jpg,11.7475,-7.5991,3.2722
NMB48_20180331 (24).jpg,14.3654,-8.8072,4.9757
NMB48_20180331 (25).jpg,10.2095,-17.6178,8.5428
NMB48_20180331 (26).jpg,10.1508,-11.1977,3.7912
NMB48_20180331 (27).jpg,24.3871,-13.0431,8.7830
NMB48_20180331 (28).jpg,-13.0181,-11.9277,-2.4774
NMB48_20180331 (29).jpg,16.5297,-10.3379,2.9953
NMB48_20180331 (30).jpg,11.0582,-12.4422,6.5391
NMB48_20180331 (31).jpg,21.6674,-15.4860,4.6581
NMB48_20180331 (32).jpg,4.1019,-10.7579,5.0371
NMB48_20180331 (33).jpg,-9.2137,-12.6880,-3.8469
NMB48_20180331 (34).jpg,-19.6674,-15.2760,-2.3356
NMB48_20180331 (35).jpg,14.8782,-14.3722,-5.2723
NMB48_20180331 (36).jpg,-4.8541,-9.9606,-2.0435
NMB48_20180331 (37).jpg,15.1179,-10.4159,1.1954
NMB48_20180331 (38).jpg,13.7650,-11.0918,3.0912
NMB48_20180331 (39).jpg,-16.8035,-9.3546,-4.9202
NMB48_20180331 (40).jpg,-6.2000,-12.6526,0.6234
NMB48_20180331 (41).jpg,10.1964,-11.7491,9.1829
NMB48_20180331 (42).jpg,-14.4776,-9.8621,-0.3798
NMB48_20180331 (43).jpg,13.4154,-8.3032,7.1953
NMB48_20180331 (44).jpg,9.0508,-9.1200,5.2499
NMB48_20180331 (45).jpg,-11.9929,-10.9018,-5.9214
NMB48_20180331 (46).jpg,-16.8249,-10.5702,-5.0497
NMB48_20180331 (47).jpg,-12.5435,-11.3212,-1.5140
