image,yaw_deg,pitch_deg,roll_deg
NMB48_20130801 (1).jpg,12.8370,-11.3512,0.3904
NMB48_20130801 (2).jpg,12.0505,-14.0899,0.0097
NMB48_20130801 (3).jpg,-12.2175,-8.2580,1.8366
NMB48_20130801 (4).jpg,14.5134,-18.9812,5.3071
NMB48_20130801 (5).jpg,4.2517,-9.7842,0.1010
NMB48_20130801 (6).jpg,4.4220,-9.6484,-0.0430
NMB48_20130801 (7).jpg,15.9324,-13.9477,-0.8657
NMB48_20130801 (8).jpg,16.3844,-16.1458,7.8003
NMB48_20130801 (9).jpg,-8.2668,-14.1299,-6.0284
NMB48_20130801 (10).jpg,-12.1838,-9.1993,2.9558
NMB48_20130801 (11).jpg,7.5155,-14.8546,4.8691
NMB48_20130801 (12).jpg,-16.0444,-12.0989,4.8235
NMB48_20130801 (13).jpg,-19.4069,-13.0624,-1.1364
NMB48_20130801 (14).jpg,11.1159,-14.7257,1.8486
NMB48_20130801 (15).jpg,-10.8475,-18.3008,-8.0045
NMB48_20130801 (16).jpg,-6.5864,-9.2483,-7.1294
NMB48_20130801 (17).jpg,16.9564,-13.7764,0.2402
NMB48_20130801 (18).jpg,3.5826,-12.8368,2.0130
NMB48_20130801 (19).jpg,-13.1782,-11.3335,-1.5212
NMB48_20130801 (20).jpg,9.6009,-15.1211,3.2377
NMB48_20130801 (21).jpg,4.0949,-13.9261,-2.7109
NMB48_20130801 (22).jpg,10.7453,-14.3279,8.8091
NMB48_20130801 (23).jpg,9.5976,-11.3361,-2.5304
NMB48_20130801 (24).jpg,-5.9491,-10.9250,7.6915
NMB48_20130801 (25).jpg,13.4094,-12.8667,0.3048
NMB48_20130801 (26).jpg,7.3977,-11.2395,1.6931
NMB48_20130801 (27).jpg,-5.6331,-14.0723,0.3238
NMB48_20130801 (28).jpg,13.1482,-11.5090,4.5471
NMB48_20130801 (29).jpg,-14.8763,-15.9915,3.1303
NMB48_20130801 (30).jpg,-13.5041,-9.6672,0.2508
NMB48_20130801 (31).jpg,2.0838,-8.6525,4.6633
NMB48_20130801 (32).jpg,-12.3060,-11.8397,-7.5135
NMB48_20130801 (33).jpg,5.8974,-12.3961,0.1828
NMB48_20130801 (34).jpg,14.6205,-6.9367,2.2106
NMB48_20130801 (35).jpg,-0.8747,-10.6047,-2.9319
NMB48_20130801 (36).jpg,-4.4519,-10.3911,3.9145
NMB48_20130801 (37).jpg,-5.9203,-15.2657,2.5072
NMB48_20130801 (38).jpg,-12.6021,-11.3152,-2.6407
NMB48_20130801 (39).jpg,-16.5683,-14.9494,-0.2727
NMB48_20130801 (40).jpg,14.7909,-12.9033,1.0997
NMB48_20130801 (41).jpg,7.6862,-13.9180,4.3536
NMB48_20130801 (42).jpg,-10.7491,-13.4709,-1.4186
NMB48_20130801 (43).jpg,-15.5017,-10.3545,1.8102
NMB48_20130801 (44).jpg,-8.2705,-16.0703,2.1881
NMB48_20130801 (45).jpg,14.6477,-11.6255,0.2016
NMB48_20130801 (46).jpg,-10.8209,-14.7794,3.4031
NMB48_20130801 (47).jpg,13.2948,-12.5542,-5.1396
NMB48_20130801 (48).jpg,12.5025,-15.8143,3.9341
NMB48_20130801 (49).jpg,10.2296,-13.6658,4.9287
NMB48_20130801 (50).jpg,-11.6583,-12.6060,-3.1480
NMB48_20130801 (51).jpg,11.6434,-14.5633,2.4931
NMB48_20130801 (52).jpg,-18.0567,-11.0709,3.6446
NMB48_20130801 (53).jpg,6.3602,-10.5536,1.7261
NMB48_20130801 (54).jpg,7.0248,-17.9697,3.7696
NMB48_20130801 (55).jpg,13.0937,-13.7151,5.4347
NMB48_20130801 (56).jpg,-11.8310,-14.1534,3.4530
NMB48_20130801 (57).jpg,12.6220,-15.8632,5.7118
NMB48_20130801 (58).jpg,9.5733,-12.7473,0.8527
NMB48_20130801 (59).jpg,-14.0027,-10.2001,3.2757
NMB48_20130801 (60).jpg,12.2471,-13.3479,3.4908
NMB48_20130801 (61).jpg,-16.1293,-11.5903,-0.4230
NMB48_20130801 (62).jpg,14.8813,-13.6967,-0.9445
NMB48_20130801 (63).jpg,-1.3924,-12.1803,1.5801
NMB48_20130801 (64).jpg,14.3504,-14.1974,5.0056
NMB48_20130801 (65).jpg,-17.2643,-17.8733,-1.2637
NMB48_20130801 (66).jpg,-18.6244,-15.4038,2.3706
NMB48_20130801 (67).jpg,-8.4433,-12.3049,1.9103
