image,yaw_deg,pitch_deg,roll_deg
NMB48_20170521 (1).jpg,-9.8593,-11.0526,-1.3233
NMB48_20170521 (2).jpg,-10.8401,-18.0505,1.3336
NMB48_20170521 (3).jpg,16.1017,-13.2601,6.1766
NMB48_20170521 (4).jpg,-14.4353,-9.1867,4.1996
NMB48_20170521 (5).jpg,6.5045,-11.3282,1.4022
NMB48_20170521 (6).jpg,7.5777,-15.9095,6.1805
NMB48_20170521 (7).jpg,-10.9604,-11.3208,-0.0297
NMB48_20170521 (8).jpg,12.7688,-17.6268,5.8740
NMB48_20170521 (9).jpg,15.9351,-17.9801,12.0511
NMB48_20170521 (10).jpg,-15.6559,-7.4916,1.5016
NMB48_20170521 (11).jpg,-9.8752,-10.5453,-3.5592
NMB48_20170521 (12).jpg,5.8927,-12.0784,-5.6603
NMB48_20170521 (13).jpg,-5.5304,-8.0365,-2.4251
NMB48_20170521 (14).jpg,10.4505,-16.7219,16.1191
NMB48_20170521 (15).jpg,2.3730,-10.4365,5.2662
NMB48_20170521 (16).jpg,11.4034,-11.5949,-3.5635
NMB48_20170521 (17).jpg,-3.9837,-15.6791,-2.7288
NMB48_20170521 (18).jpg,9.0094,-10.4234,-0.0428
NMB48_20170521 (19).jpg,5.3117,-12.4820,3.9588
NMB48_20170521 (20).jpg,9.7095,-15.9089,0.8068
NMB48_20170521 (21).jpg,11.2430,-11.8842,12.4336
NMB48_20170521 (22).jpg,12.9508,-16.2900,6.7459
NMB48_20170521 (23).jpg,-2.7013,-16.9687,1.3085
NMB48_20170521 (24).jpg,12.6067,-12.5177,6.8719
NMB48_20170521 (25).jpg,5.6574,-9.4868,5.8153
NMB48_20170521 (26).jpg,6.1533,-13.3165,5.8377
NMB48_20170521 (27).jpg,12.3316,-8.0867,5.5961
NMB48_20170521 (28).jpg,-7.6373,-13.8070,-2.3266
NMB48_20170521 (29).jpg,6.7361,-13.1286,0.3335
NMB48_20170521 (30).jpg,11.6544,-14.9642,4.5921
NMB48_20170521 (31).jpg,-2.7339,-12.2522,1.0530
NMB48_20170521 (32).jpg,16.3238,-18.6253,0.5631
NMB48_20170521 (33).jpg,-4.8095,-15.5659,-1.5888
NMB48_20170521 (34).jpg,-11.5612,-12.4362,-0.8513
NMB48_20170521 (35).jpg,14.7963,-16.2507,6.5733
NMB48_20170521 (36).jpg,22.1514,-12.4704,4.1092
NMB48_20170521 (37).jpg,-8.1979,-12.0375,-6.3256
NMB48_20170521 (38).jpg,-23.0661,-10.2437,-0.6186
NMB48_20170521 (39).jpg,5.2878,-10.2499,5.9693
NMB48_20170521 (40).jpg,-18.6754,-12.5212,-1.4783
NMB48_20170521 (41).jpg,14.6828,-17.7681,-1.1748
NMB48_20170521 (42).jpg,6.3964,-11.5520,0.3413
NMB48_20170521 (43).jpg,-9.8518,-9.5310,-2.2896
NMB48_20170521 (44).jpg,3.1202,-13.6243,-17.3525
NMB48_20170521 (45).jpg,12.2129,-13.5549,7.9119
NMB48_20170521 (46).jpg,-7.2804,-13.0871,-2.6066
NMB48_20170521 (47).jpg,-16.9568,-15.3664,3.3683
NMB48_20170521 (48).jpg,7.0539,-13.6062,10.0912
NMB48_20170521 (49).jpg,6.1355,-13.4395,1.6604
NMB48_20170521 (50).jpg,9.8071,-9.1249,5.2386
NMB48_20170521 (51).jpg,-8.6440,-12.5350,2.3638
NMB48_20170521 (52).jpg,-9.9217,-14.7973,-6.3714
NMB48_20170521 (53).jpg,1.7856,-8.4781,-2.1328
NMB48_20170521 (54).jpg,-7.6519,-7.6172,-0.3707
NMB48_20170521 (55).jpg,-7.8345,-12.9596,-6.1388
