image,yaw_deg,pitch_deg,roll_deg
NMB48_20190501 (1).jpg,-9.3532,-9.7386,1.6743
NMB48_20190501 (2).jpg,-10.7407,-8.0150,-3.5867
NMB48_20190501 (3).jpg,-16.7804,-4.0944,2.9556
NMB48_20190501 (4).jpg,16.4225,-10.2274,-7.4338
NMB48_20190501 (5).jpg,-0.9659,-11.4614,2.0469
NMB48_20190501 (6).jpg,13.2483,-11.1886,12.2259
NMB48_20190501 (7).jpg,17.5697,-15.0170,7.5676
NMB48_20190501 (8).jpg,-16.2530,-11.5459,-0.7240
NMB48_20190501 (9).jpg,-11.1172,-10.6659,0.1721
NMB48_20190501 (10).jpg,-14.4926,-12.8150,-8.5852
NMB48_20190501 (11).jpg,26.9906,-0.9338,-6.6597
NMB48_20190501 (12).jpg,-18.4000,-12.4295,-8.9028
NMB48_20190501 (13).jpg,-18.0463,-11.2736,-0.0895
NMB48_20190501 (14).jpg,11.7673,-6.5970,2.4851
NMB48_20190501 (15).jpg,-16.9502,-9.6123,0.6584
NMB48_20190501 (16).jpg,14.3520,-11.8967,-1.6557
NMB48_20190501 (17).jpg,18.3081,-13.0956,4.5086
NMB48_20190501 (18).jpg,14.7635,-18.6009,6.3330
NMB48_20190501 (19).jpg,-10.6125,-8.2324,1.9692
NMB48_20190501 (20).jpg,12.5426,-11.2136,4.6732
NMB48_20190501 (21).jpg,-13.3934,-11.7547,-9.0696
NMB48_20190501 (22).jpg,5.8507,-8.9931,-2.0014
NMB48_20190501 (23).jpg,4.6386,-10.8930,-0.8825
NMB48_20190501 (24).jpg,7.9993,-10.4652,4.6825
NMB48_20190501 (25).jpg,12.1141,-14.7021,3.9419
NMB48_20190501 (26).jpg,-4.6772,-4.2468,-3.5175
NMB48_20190501 (27).jpg,17.4341,-14.6366,5.3094
NMB48_20190501 (28).jpg,14.6976,-13.8528,5.7178
NMB48_20190501 (29).jpg,13.8066,-16.1090,-5.1915
NMB48_20190501 (30).jpg,19.6851,-13.8310,-0.1779
NMB48_20190501 (31).jpg,21.0166,-8.9900,-4.1710
NMB48_20190501 (32).jpg,22.0397,-9.6109,-1.4538
NMB48_20190501 (33).jpg,9.2763,-7.7011,7.7687
NMB48_20190501 (34).jpg,13.5182,-10.2474,4.9795
NMB48_20190501 (35).jpg,-10.3156,-11.7885,-4.8644
NMB48_20190501 (36).jpg,14.4482,-13.2764,0.8348
NMB48_20190501 (37).jpg,9.9374,-10.8851,0.2824
NMB48_20190501 (38).jpg,17.6219,-15.7946,12.5367
NMB48_20190501 (39).jpg,22.6032,-15.4247,-0.3017
NMB48_20190501 (40).jpg,-18.4051,-10.5985,-0.0526
NMB48_20190501 (41).jpg,-16.2317,-13.1454,5.7512
NMB48_20190501 (42).jpg,20.0234,-14.6258,0.0836
NMB48_20190501 (43).jpg,-14.9089,-7.4310,-10.2659
NMB48_20190501 (44).jpg,21.5573,-13.2312,4.5874
NMB48_20190501 (45).jpg,16.3201,-13.8360,6.6335
NMB48_20190501 (46).jpg,15.2650,-14.8881,0.4398
NMB48_20190501 (47).jpg,14.1266,-11.1806,8.0851
NMB48_20190501 (48).jpg,9.6504,-9.8662,4.0185
NMB48_20190501 (49).jpg,15.0186,-9.4053,3.8159
NMB48_20190501 (50).jpg,10.0901,-6.3825,3.3447
NMB48_20190501 (51).jpg,16.5126,-9.0246,0.0023
NMB48_20190501 (52).jpg,-9.3735,-12.1053,-3.9198
NMB48_20190501 (53).jpg,-9.8876,-7.8026,0.0136
NMB48_20190501 (54).jpg,-12.0398,-6.7929,-2.7293
NMB48_20190501 (55).jpg,6.8465,-10.5117,6.2725
NMB48_20190501 (56).jpg,9.7691,-16.3391,9.4228
NMB48_20190501 (57).jpg,15.5975,-13.7146,7.2831
NMB48_20190501 (58).jpg,15.3220,-11.9571,2.3692
NMB48_20190501 (59).jpg,10.2893,-11.8271,7.9196
NMB48_20190501 (60).jpg,11.5092,-9.1510,1.7171
NMB48_20190501 (61).jpg,11.4712,-15.4698,7.8181
NMB48_20190501 (62).jpg,15.1082,-15.5506,5.6883
NMB48_20190501 (63).jpg,-13.8769,-10.6454,-1.5658
NMB48_20190501 (64).jpg,-5.7961,-10.8072,-3.8359
NMB48_20190501 (65).jpg,-6.8756,-9.1945,0.4049
