image,yaw_deg,pitch_deg,roll_deg
NMB48_20130117 (1).jpg,-4.2119,-9.9874,0.7043
NMB48_20130117 (2).jpg,-4.8087,-13.7578,2.7399
NMB48_20130117 (3).jpg,-11.1761,-11.0479,-9.6009
NMB48_20130117 (4).jpg,-9.8151,-6.3408,-0.9491
NMB48_20130117 (5).jpg,-14.1959,-4.0273,7.1152
NMB48_20130117 (6).jpg,10.9571,-15.2002,3.1546
NMB48_20130117 (7).jpg,7.2995,-10.6685,-0.0317
NMB48_20130117 (8).jpg,-8.1778,-11.1967,-5.1062
NMB48_20130117 (9).jpg,12.6411,-15.1193,1.6118
NMB48_20130117 (10).jpg,-10.2467,-12.9899,-3.1665
NMB48_20130117 (11).jpg,2.7552,-13.8101,-3.6413
NMB48_20130117 (12).jpg,4.4219,-12.6982,5.2221
NMB48_20130117 (13).jpg,5.1937,-9.3908,-1.6230
NMB48_20130117 (14).jpg,6.0172,-10.3869,1.4833
NMB48_20130117 (15).jpg,12.1577,-15.5072,8.8459
NMB48_20130117 (16).jpg,-0.8320,-11.2148,0.2900
NMB48_20130117 (17).jpg,-15.6509,-10.8246,1.2582
NMB48_20130117 (18).jpg,6.7360,-14.5732,8.5784
NMB48_20130117 (19).jpg,8.1139,-9.7018,6.2358
NMB48_20130117 (20).jpg,21.8034,-15.1229,-2.2883
NMB48_20130117 (21).jpg,14.6488,-17.1731,1.3746
NMB48_20130117 (22).jpg,-5.0479,-10.0976,-4.5021
NMB48_20130117 (23).jpg,-9.3390,-12.0003,-1.2206
NMB48_20130117 (24).jpg,8.1728,-9.8488,2.0406
NMB48_20130117 (25).jpg,15.6157,-13.4772,9.5977
NMB48_20130117 (26).jpg,12.7751,-13.4961,1.8147
NMB48_20130117 (27).jpg,-8.8068,-9.7817,-1.7071
NMB48_20130117 (28).jpg,-1.7795,-17.0350,-3.0103
NMB48_20130117 (29).jpg,-2.6084,-15.1747,-2.4006
NMB48_20130117 (30).jpg,5.6515,-15.0501,7.4991
NMB48_20130117 (31).jpg,10.9845,-14.5796,7.3881
NMB48_20130117 (32).jpg,-12.5435,-11.7756,-3.3571
