image,yaw_deg,pitch_deg,roll_deg
AKB48_20210805 (1).jpg,11.1549,-12.9564,7.8054
AKB48_20210805 (2).jpg,12.7211,-9.0211,3.9416
AKB48_20210805 (3).jpg,11.3912,-16.7346,7.2645
AKB48_20210805 (4).jpg,-5.2803,-8.8881,1.2560
AKB48_20210805 (5).jpg,12.7667,-11.4262,5.0447
AKB48_20210805 (6).jpg,15.5168,-11.7038,-0.7218
AKB48_20210805 (7).jpg,16.9519,-10.3736,-0.4875
AKB48_20210805 (8).jpg,1.1918,-9.3481,6.4273
AKB48_20210805 (9).jpg,8.0127,-12.5157,8.9987
AKB48_20210805 (10).jpg,0.9737,-11.4949,-0.3634
AKB48_20210805 (11).jpg,13.5284,-16.4388,17.5425
AKB48_20210805 (12).jpg,16.7907,-13.7333,7.3596
AKB48_20210805 (13).jpg,0.5532,-8.7293,-1.5120
AKB48_20210805 (14).jpg,-5.6139,-13.4789,-9.7110
AKB48_20210805 (15).jpg,8.3735,-11.7259,2.2301
AKB48_20210805 (16).jpg,2.2981,-12.6900,-0.5817
AKB48_20210805 (17).jpg,15.1999,-18.0122,8.8369
AKB48_20210805 (18).jpg,6.0886,-11.0345,11.0403
AKB48_20210805 (19).jpg,-17.4044,-13.1491,-8.6221
AKB48_20210805 (20).jpg,-6.5068,-12.5394,-7.0932
AKB48_20210805 (21).jpg,-15.6352,-11.6214,-6.9017
AKB48_20210805 (22).jpg,-18.0575,-6.4600,-6.0745
AKB48_20210805 (23).jpg,10.9484,-16.9147,13.5665
AKB48_20210805 (24).jpg,1.6060,-8.7374,1.1274
AKB48_20210805 (25).jpg,-2.5078,-8.3934,-7.0900
AKB48_20210805 (26).jpg,8.9257,-12.6926,4.7390
AKB48_20210805 (27).jpg,-13.8633,-12.6656,-10.3205
AKB48_20210805 (28).jpg,-7.7385,-11.0475,-7.5772
AKB48_20210805 (29).jpg,-15.5887,-12.8886,-7.5913
AKB48_20210805 (30).jpg,12.5912,-13.1108,7.9792
AKB48_20210805 (31).jpg,8.1110,-8.8434,-2.0388
AKB48_20210805 (32).jpg,-6.9643,-14.1657,-6.9224
AKB48_20210805 (33).jpg,6.5099,-10.1341,14.9147
AKB48_20210805 (34).jpg,15.3700,-9.1035,7.7259
AKB48_20210805 (35).jpg,7.1331,-11.2449,3.0338
AKB48_20210805 (36).jpg,-8.1237,-11.7485,-5.8866
AKB48_20210805 (37).jpg,-7.7310,-9.8475,-3.4512
AKB48_20210805 (38).jpg,6.4461,-17.4143,7.8228
AKB48_20210805 (39).jpg,7.2678,-18.4519,17.3970
AKB48_20210805 (40).jpg,5.7143,-13.4598,4.1293
AKB48_20210805 (41).jpg,-4.9682,-10.3353,-3.0446
AKB48_20210805 (42).jpg,8.6087,-8.0983,2.8908
AKB48_20210805 (43).jpg,-8.4658,-14.7058,2.9626
AKB48_20210805 (44).jpg,-10.5700,-10.7893,-4.3170
AKB48_20210805 (45).jpg,-13.3213,-14.1757,-7.5062
AKB48_20210805 (46).jpg,2.9325,-6.3899,-6.5501
AKB48_20210805 (47).jpg,17.3611,-13.4075,4.1244
AKB48_20210805 (48).jpg,5.6006,-16.6512,7.2511
AKB48_20210805 (49).jpg,5.0012,-11.4571,7.2981
AKB48_20210805 (50).jpg,-3.3715,-10.8033,-9.3606
AKB48_20210805 (51).jpg,-15.8431,-7.0801,-3.1673
AKB48_20210805 (52).jpg,5.4752,-9.8667,-0.8295
AKB48_20210805 (53).jpg,-1.0097,-13.6110,2.0309
AKB48_20210805 (54).jpg,-13.7615,-13.8033,-16.2301
AKB48_20210805 (55).jpg,15.6261,-12.5869,6.8210
AKB48_20210805 (56).jpg,5.2463,-9.7273,8.3960
AKB48_20210805 (57).jpg,-7.1626,-11.9992,-6.6747
AKB48_20210805 (58).jpg,0.9004,-9.3956,2.1377
AKB48_20210805 (59).jpg,8.0759,-12.3128,12.5447
AKB48_20210805 (60).jpg,-6.9672,-12.3181,-5.0221
AKB48_20210805 (61).jpg,-2.7206,-10.2924,-1.0804
AKB48_20210805 (62).jpg,7.5341,-11.4987,4.1313
AKB48_20210805 (63).jpg,-3.5937,-9.1867,3.1788
AKB48_20210805 (64).jpg,9.5233,-13.6761,7.5302
AKB48_20210805 (65).jpg,11.4088,-9.2833,6.4589
AKB48_20210805 (66).jpg,11.8109,-12.9007,17.8748
AKB48_20210805 (67).jpg,-7.6916,-13.1366,-6.8595
AKB48_20210805 (68).jpg,-9.8935,-10.3328,-5.5475
AKB48_20210805 (69).jpg,18.7098,-12.7172,7.8727
AKB48_20210805 (70).jpg,12.2841,-14.9642,13.3975
AKB48_20210805 (71).jpg,-9.7778,-14.0222,-6.1390
AKB48_20210805 (72).jpg,-10.5906,-8.8790,-4.9220
AKB48_20210805 (73).jpg,-10.7555,-10.9706,-1.6348
AKB48_20210805 (74).jpg,-5.4798,-10.9029,-8.1293
AKB48_20210805 (75).jpg,-3.3049,-10.8658,-6.0202
AKB48_20210805 (76).jpg,12.2139,-10.8414,1.3459
AKB48_20210805 (77).jpg,9.3811,-10.1931,2.2819
AKB48_20210805 (78).jpg,-4.1767,-12.9176,-4.9726
AKB48_20210805 (79).jpg,2.2943,-10.1618,3.6591
AKB48_20210805 (80).jpg,11.6592,-15.5266,-0.6825
AKB48_20210805 (81).jpg,-11.1216,-11.5635,-8.8809
AKB48_20210805 (82).jpg,-8.7332,-14.4878,-10.1629
AKB48_20210805 (83).jpg,-16.3477,-5.9443,6.3397
AKB48_20210805 (84).jpg,6.3106,-11.7192,1.6505
AKB48_20210805 (85).jpg,-3.9196,-8.0616,-4.3228
AKB48_20210805 (86).jpg,17.5560,-16.7062,12.4987
AKB48_20210805 (87).jpg,7.1660,-10.7014,8.9654
AKB48_20210805 (88).jpg,-9.1432,-12.8781,-11.7144
AKB48_20210805 (89).jpg,12.1630,-10.8612,-1.5171
AKB48_20210805 (90).jpg,10.3153,-11.9540,3.4558
AKB48_20210805 (91).jpg,8.1253,-13.0767,7.4314
AKB48_20210805 (92).jpg,-5.1498,-12.1261,-9.7181
AKB48_20210805 (93).jpg,11.7886,-14.7490,6.8789
AKB48_20210805 (94).jpg,10.7777,-11.8621,11.0669
AKB48_20210805 (95).jpg,16.3396,-10.3404,2.5316
AKB48_20210805 (96).jpg,7.5422,-11.0086,3.3025
AKB48_20210805 (97).jpg,-5.7292,-11.4861,-9.0242
AKB48_20210805 (98).jpg,10.1713,-13.3404,7.4886
AKB48_20210805 (99).jpg,12.3094,-13.4338,6.2693
AKB48_20210805 (100).jpg,-8.1383,-15.8382,-1.3817
AKB48_20210805 (101).jpg,4.3850,-14.3039,8.7323
AKB48_20210805 (102).jpg,11.0520,-10.8052,-0.2335
AKB48_20210805 (103).jpg,-6.0069,-9.6869,-3.0218
AKB48_20210805 (104).jpg,-7.0491,-9.6140,-5.8834
AKB48_20210805 (105).jpg,18.8899,-3.8322,-8.1923
