image,yaw_deg,pitch_deg,roll_deg
AKB48_20240409 (1).jpg,-10.8505,-12.5085,-6.7653
AKB48_20240409 (2).jpg,5.3456,-14.0869,2.1196
AKB48_20240409 (3).jpg,2.2411,-14.7028,2.8140
AKB48_20240409 (4).jpg,11.0798,-11.7224,-0.5562
AKB48_20240409 (5).jpg,0.5131,-11.0093,5.3749
AKB48_20240409 (6).jpg,-18.4491,-10.2650,0.6269
AKB48_20240409 (7).jpg,12.9707,-11.2059,-1.8769
AKB48_20240409 (8).jpg,-8.8628,-12.4694,-6.5014
AKB48_20240409 (9).jpg,1.6886,-13.0585,10.7002
AKB48_20240409 (10).jpg,-10.6746,-13.6653,-0.7229
AKB48_20240409 (11).jpg,9.4682,-10.9413,1.1858
AKB48_20240409 (12).jpg,-13.7681,-12.4919,1.8227
AKB48_20240409 (13).jpg,18.8647,-7.9452,-6.8828
AKB48_20240409 (14).jpg,13.5121,-17.1123,11.1819
AKB48_20240409 (15).jpg,7.6361,-11.2626,6.6616
AKB48_20240409 (16).jpg,14.4945,-12.7612,9.5208
AKB48_20240409 (17).jpg,-1.1408,-8.5802,-0.9211
AKB48_20240409 (18).jpg,10.1679,-13.3071,2.1453
AKB48_20240409 (19).jpg,-6.7331,-13.9452,-6.9367
AKB48_20240409 (20).jpg,17.2599,-10.2544,-1.2976
AKB48_20240409 (21).jpg,-7.9227,-11.4381,-0.3411
AKB48_20240409 (22).jpg,10.8733,-11.7001,6.0866
AKB48_20240409 (23).jpg,12.7003,-15.4053,8.2658
AKB48_20240409 (24).jpg,-8.8760,-11.8437,-8.5632
AKB48_20240409 (25).jpg,22.1193,-17.1021,10.2541
AKB48_20240409 (26).jpg,-2.5993,-8.7517,-8.5708
AKB48_20240409 (27).jpg,-5.3761,-10.0421,-1.5083
AKB48_20240409 (28).jpg,2.7403,-14.1922,2.6678
AKB48_20240409 (29).jpg,10.3439,-12.6589,14.5126
AKB48_20240409 (30).jpg,9.3253,-8.7479,3.5325
AKB48_20240409 (31).jpg,-5.6299,-8.2545,-2.1218
AKB48_20240409 (32).jpg,9.5551,-11.6666,3.6862
AKB48_20240409 (33).jpg,-6.9100,-10.7241,-0.9150
AKB48_20240409 (34).jpg,-6.6850,-12.2390,-1.1115
AKB48_20240409 (35).jpg,1.6266,-11.5841,1.4107
AKB48_20240409 (36).jpg,-6.7762,-13.1889,-5.7662
AKB48_20240409 (37).jpg,-8.0224,-15.0060,-11.6584
AKB48_20240409 (38).jpg,9.4825,-4.5330,-6.2997
AKB48_20240409 (39).jpg,-16.3723,-8.4099,1.7200
AKB48_20240409 (40).jpg,12.4172,-14.9793,9.9503
AKB48_20240409 (41).jpg,-1.4012,-7.9258,-0.0300
AKB48_20240409 (42).jpg,7.6184,-10.9064,8.5814
AKB48_20240409 (43).jpg,-10.0903,-11.8252,1.4838
AKB48_20240409 (44).jpg,-7.5727,-13.4972,-6.5800
AKB48_20240409 (45).jpg,-10.0083,-12.8011,-11.3652
AKB48_20240409 (46).jpg,8.4995,-11.1153,2.7223
AKB48_20240409 (47).jpg,21.0462,-11.1412,-3.2588
AKB48_20240409 (48).jpg,-3.4267,-12.6951,-8.5185
AKB48_20240409 (49).jpg,-10.8892,-9.7287,10.0073
AKB48_20240409 (50).jpg,9.4705,-12.1541,5.7454
AKB48_20240409 (51).jpg,-11.5914,-13.8867,-11.0990
AKB48_20240409 (52).jpg,-7.7132,-13.4916,-3.2996
AKB48_20240409 (53).jpg,9.9751,-13.0089,2.0204
AKB48_20240409 (54).jpg,-6.6773,-8.3125,-3.0023
AKB48_20240409 (55).jpg,-9.9228,-10.9486,-5.8140
AKB48_20240409 (56).jpg,16.9650,-15.6717,13.2025
AKB48_20240409 (57).jpg,7.5110,-11.0875,-8.2204
AKB48_20240409 (58).jpg,-12.1002,-10.3964,4.5410
AKB48_20240409 (59).jpg,11.1113,-13.2263,5.8256
AKB48_20240409 (60).jpg,0.2349,-12.3444,1.0745
AKB48_20240409 (61).jpg,-0.7826,-13.0403,4.5562
AKB48_20240409 (62).jpg,-9.7473,-14.9000,-4.3219
AKB48_20240409 (63).jpg,10.3831,-8.5705,0.6299
AKB48_20240409 (64).jpg,-11.0545,-12.6222,-2.9408
AKB48_20240409 (65).jpg,-5.7020,-12.4502,-2.0731
AKB48_20240409 (66).jpg,4.6392,-14.1303,7.4262
