image,yaw_deg,pitch_deg,roll_deg
SKE48_20130821 (1).jpg,-1.5471,-13.8659,3.2403
SKE48_20130821 (2).jpg,-10.4516,-13.3719,3.1032
SKE48_20130821 (3).jpg,-3.8680,-13.5169,-11.3978
SKE48_20130821 (4).jpg,13.6312,-12.1361,-1.1811
SKE48_20130821 (5).jpg,-11.9355,-12.0524,-1.0259
SKE48_20130821 (6).jpg,6.6044,-13.3556,8.3405
SKE48_20130821 (7).jpg,-9.2753,-12.5053,2.1074
SKE48_20130821 (8).jpg,-0.0123,-9.5636,-3.5524
SKE48_20130821 (9).jpg,-12.3139,-13.5081,2.3756
SKE48_20130821 (10).jpg,-2.1876,-11.0563,-2.9860
SKE48_20130821 (11).jpg,-8.9369,-13.8505,-5.0618
SKE48_20130821 (12).jpg,-10.1108,-7.9742,-2.3579
SKE48_20130821 (13).jpg,13.9080,-11.6524,3.8391
SKE48_20130821 (14).jpg,4.9685,-15.6265,6.3329
SKE48_20130821 (15).jpg,-11.1234,-19.7244,-10.8841
SKE48_20130821 (16).jpg,-3.5735,-10.6647,-4.7780
SKE48_20130821 (17).jpg,3.0131,-9.6010,4.6777
SKE48_20130821 (18).jpg,-7.0809,-9.5181,0.7530
SKE48_20130821 (19).jpg,0.0398,-14.8426,-1.7524
SKE48_20130821 (20).jpg,11.4425,-12.0926,3.2921
SKE48_20130821 (21).jpg,0.6732,-13.0919,8.1660
SKE48_20130821 (22).jpg,-10.7147,-15.3296,-2.3999
SKE48_20130821 (23).jpg,8.7903,-15.1411,5.7885
SKE48_20130821 (24).jpg,3.0676,-7.4624,-3.3950
SKE48_20130821 (25).jpg,15.3364,-17.5143,2.0869
SKE48_20130821 (26).jpg,0.6500,-12.5112,0.2680
SKE48_20130821 (27).jpg,-10.6971,-12.6568,-2.2104
SKE48_20130821 (28).jpg,14.6760,-13.2197,6.9254
SKE48_20130821 (29).jpg,-7.6716,-13.2223,0.0622
SKE48_20130821 (30).jpg,3.4116,-9.5685,-3.2183
SKE48_20130821 (31).jpg,12.1082,-10.9233,2.4410
SKE48_20130821 (32).jpg,-2.7920,-12.9227,-3.5750
SKE48_20130821 (33).jpg,-4.3122,-13.6594,-9.6938
SKE48_20130821 (34).jpg,-12.6667,-12.2175,-8.5558
SKE48_20130821 (35).jpg,-9.8616,-9.9739,-3.8176
SKE48_20130821 (36).jpg,-8.0535,-9.7134,0.3542
SKE48_20130821 (37).jpg,7.5540,-9.1287,1.6259
SKE48_20130821 (38).jpg,3.0827,-10.7600,-0.7176
SKE48_20130821 (39).jpg,-8.3013,-12.2246,-7.6947
SKE48_20130821 (40).jpg,16.9402,-12.4708,1.1050
SKE48_20130821 (41).jpg,-11.7832,-13.8518,-2.4924
SKE48_20130821 (42).jpg,-7.0967,-13.2056,-0.4134
SKE48_20130821 (43).jpg,-1.7519,-11.8702,2.0961
SKE48_20130821 (44).jpg,9.1435,-15.6204,8.1435
SKE48_20130821 (45).jpg,8.9781,-11.0331,7.2436
SKE48_20130821 (46).jpg,-6.6969,-12.6464,-4.6123
SKE48_20130821 (47).jpg,-8.0286,-7.3809,3.5736
SKE48_20130821 (48).jpg,0.2510,-12.7937,-0.9284
SKE48_20130821 (49).jpg,8.1943,-11.8196,0.6502
SKE48_20130821 (50).jpg,8.8280,-11.7206,-1.7541
SKE48_20130821 (51).jpg,-3.7957,-11.3763,-0.0002
SKE48_20130821 (52).jpg,7.6727,-14.1559,2.2438
SKE48_20130821 (53).jpg,9.1263,-13.7821,5.9919
SKE48_20130821 (54).jpg,-11.6881,-11.8188,-4.2532
SKE48_20130821 (55).jpg,-10.4929,-13.5818,-7.1028
SKE48_20130821 (56).jpg,-13.9833,-12.7456,-3.6881
SKE48_20130821 (57).jpg,11.1972,-18.6766,11.2601
SKE48_20130821 (58).jpg,-8.9955,-12.1712,-4.0159
SKE48_20130821 (59).jpg,-3.3600,-11.2333,-4.4486
SKE48_20130821 (60).jpg,-7.7680,-10.8272,1.1691
SKE48_20130821 (61).jpg,-12.7755,-12.6107,0.9017
SKE48_20130821 (62).jpg,-4.5749,-9.3945,3.1821
SKE48_20130821 (63).jpg,10.2701,-13.5259,0.6287
SKE48_20130821 (64).jpg,9.9015,-15.6732,4.4995
SKE48_20130821 (65).jpg,-12.8843,-7.1799,2.2034
SKE48_20130821 (66).jpg,-8.8349,-8.6925,0.9839
SKE48_20130821 (67).jpg,8.6759,-12.1645,5.6484
SKE48_20130821 (68).jpg,-12.5463,-12.9164,-3.3994
SKE48_20130821 (69).jpg,18.7435,-12.3030,-2.6912
SKE48_20130821 (70).jpg,6.9923,-15.0867,3.6370
SKE48_20130821 (71).jpg,7.4943,-10.7366,1.5596
SKE48_20130821 (72).jpg,7.4179,-13.1925,3.0401
